,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
345,כרמל פיסי ,9,180,4.8,176,4,6,6,8,19
346,צבר אקספרס ,6,694,4.79,664,28,1,7,26,58
347,החשמל לצרכן ,13,355,4.79,331,20,2,5,10,27
348,מחיר מנצח ,14,660,4.78,643,15,2,7,22,51
349,חשמל במחירים ,9,504,4.78,462,40,2,4,12,38
350,TMAudio ,7,244,4.78,238,6,0,9,13,17
351,ThreeSixty ,7,104,4.78,100,4,1,5,8,17
352,SaleOut ,2,25,4.78,24,1,4,6,6,17
353,אנג וי סטיק ,19,370,4.77,331,35,7,9,20,62
354,חשמל חכם ,3,269,4.77,265,4,2,7,12,33
355,PHONEX ,4,261,4.77,257,4,0,5,13,29
356,גיימסטורם ,4,113,4.76,108,5,2,8,15,31
357,גיים סטור ,8,91,4.76,76,14,2,7,9,31
358,בסט טולס ,13,62,4.76,54,8,1,4,5,16
359,קינג בייבי ,12,191,4.75,181,8,2,5,5,15
360,רפואה סנטר ,4,115,4.75,106,7,0,4,10,15
361,האשטג מובייל ,2,65,4.75,62,3,4,16,35,45
362,ענק החשמל ,10,1042,4.74,956,79,4,20,33,70
363,אלקטריק סמייל ,10,109,4.74,101,8,1,2,13,29
364,אלקטריק פומפה ,20,2198,4.73,1690,480,13,57,96,191
365,אלקטריק סייל ,5,340,4.73,314,26,3,9,18,41
366,איציק ורועי ,14,285,4.73,272,13,1,3,11,14
367,אלקטריק סנטר ,1,15,4.73,14,1,2,2,6,14
368,וירטואל חשמל ,5,124,4.71,117,7,0,1,3,13
369,בביוף מחשבים ,2,86,4.71,80,4,7,16,30,61
370,פון פליי ,5,3119,4.7,2918,184,31,120,275,642
371,רפאלי ,17,1252,4.7,1179,71,2,18,40,93
372,imobile israel ,3,189,4.7,182,7,1,12,19,53
373,חשמל שירי ,9,171,4.7,167,3,1,10,16,30
374,הייטק מובייל ,2,68,4.7,60,7,4,12,33,55
375,י רובין ,24,896,4.6899999999999995,862,28,3,25,37,82
376,חצי חינם ,18,560,4.6899999999999995,543,13,1,4,5,12
377,slimprice ,13,516,4.6899999999999995,434,76,0,4,6,12
378,גילילנס ,15,244,4.6899999999999995,232,11,0,1,5,15
379,טבע בעיר ,7,104,4.6899999999999995,98,4,2,10,18,36
380,דיו למדפסת ,2,14,4.6899999999999995,13,1,0,0,0,12
381,O PHARM ,7,325,4.68,306,17,0,5,10,28
382,די וי די סנטר ,15,153,4.67,150,3,1,10,11,19
383,4Com ,13,107,4.67,103,4,0,0,0,11
384,itechstore ,13,2839,4.66,2541,280,48,106,214,410
385,ליאור מוצרי חשמל ,6,681,4.66,618,56,4,17,25,82
